VALUE,C1_F_CLS,C1_P_BIOW2,C1_F_HEA_IHP
2010,0.0,0.0,0.0
2011,0.0,0.0,0.0
2012,0.0,0.0,0.0
2013,0.0,0.0,0.0
2014,0.0,0.0,0.0
2015,0.0,0.0,0.0
2016,0.0,0.0,0.0
2017,0.0,0.0,0.0
2018,0.0,0.0,0.0
2019,0.0,0.0,0.0
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,0.0,0.0,0.0
2026,1.1782747350410816,4.08855945780911,1.326
2027,1.369269275226876,4.75369518703426,1.5160000000000002
2028,1.5657563694018528,5.4385794834428385,1.705
2029,1.7699040581951482,6.150776603564642,1.895
2030,1.9757991457220136,6.869767959627944,2.079350795113464
2031,1.9834953000774087,6.900008205936173,2.0511762629209302
2032,1.99110551040324,6.929979869964598,2.02260294832202
2033,1.9986243648647912,6.959663699361208,1.9936161362811335
2034,2.006050468931565,6.98905439908117,1.9642257747629452
2035,2.013383891810669,7.018151765589783,1.9344365649887305
2036,2.020636464705136,7.046996615057984,1.9042712058939384
2037,2.0278000785167403,7.075560269040775,1.8737124115988948
2038,2.0348813399012693,7.103865364367008,1.842777498386235
2039,2.041876053305808,7.131896853630214,1.81146684054338
2040,2.048786942511142,7.15966383911664,1.7797941605085659
2041,2.0556174512185095,7.187177958684272,1.7477525694823988
2042,2.062370226934553,7.214448088623668,1.7153552738717541
2043,2.069041016021217,7.241458969865224,1.682602687935233
2044,2.075632508076355,7.268219625380661,1.649508192569111
2045,2.082147938244015,7.2947410077931405,1.6160640497941257
2046,2.0885899231985308,7.321031924116476,1.582283145787648
2047,2.0949541610293614,7.347076935573533,1.54816596764081
2048,2.101246982466381,7.372897879969828,1.513728218070354
2049,2.107460410089598,7.398466409307206,1.4789534352205103
2050,2.1136080506723505,7.423829930047511,1.443862138747868
