VALUE,C1_F_CLS,C1_F_HEA_I,C1_P_HCO,XALU
2010,1.4147413073965167,0.6462965482922416,0.5428838525220538,226.13819135942097
2011,1.4574415023970482,0.6675912336852594,0.5612388941797516,235.31324759217864
2012,1.4992959500933187,0.6886102709811625,0.5793910704502022,244.4952287649388
2013,1.5403865110620936,0.7093845229353336,0.5973648122162644,253.69404386645033
2014,1.5806944508396648,0.7299030717532066,0.6151536813659254,262.9030987769139
2015,1.6202459392524993,0.75017686021805,0.6327604526455116,272.12343567348216
2016,1.6590558671714284,0.7702135338553818,0.650191219208629,281.35506110736566
2017,1.697130227392641,0.7900089019007294,0.6674502021696884,290.59587182621885
2018,1.7345057276075706,0.8095778832847196,0.6845405820860566,299.84872234878316
2019,1.7451260655197194,0.8167252806357524,0.6911481252906113,304.56353617111216
2020,1.7540321710995666,0.8231045571017317,0.6971074804233428,309.0193893887384
2021,1.7612347323950697,0.8287093717971148,0.70242049346299,313.21108604354663
2022,1.7667758941106873,0.8335534300889784,0.707097739045184,317.13601796122316
2023,1.798813388015624,0.8509524462042084,0.7224356692693465,325.8885526005577
2024,1.8302792826845895,0.868168417729779,0.7376402657509216,334.65200096251095
2025,1.8611752604529477,0.8852055427351813,0.7527151722043125,343.4252832623241
2026,0.0,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0
2030,0.0,0.0,0.0,0.0
2031,0.0,0.0,0.0,0.0
2032,0.0,0.0,0.0,0.0
2033,0.0,0.0,0.0,0.0
2034,0.0,0.0,0.0,0.0
2035,0.0,0.0,0.0,0.0
2036,0.0,0.0,0.0,0.0
2037,0.0,0.0,0.0,0.0
2038,0.0,0.0,0.0,0.0
2039,0.0,0.0,0.0,0.0
2040,0.0,0.0,0.0,0.0
2041,0.0,0.0,0.0,0.0
2042,0.0,0.0,0.0,0.0
2043,0.0,0.0,0.0,0.0
2044,0.0,0.0,0.0,0.0
2045,0.0,0.0,0.0,0.0
2046,0.0,0.0,0.0,0.0
2047,0.0,0.0,0.0,0.0
2048,0.0,0.0,0.0,0.0
2049,0.0,0.0,0.0,0.0
2050,0.0,0.0,0.0,0.0
