VALUE,C1_F_CLS,C1_F_HEA_I,C1_P_BIOW2
2010,1.7999982248500888,2.545782760589717,6.196040029114297
2011,1.8098901596321488,2.527314847789079,6.2331616858608925
2012,1.8196468136658968,2.5082965588953514,6.269896190644052
2013,1.8292724264451368,2.4887109286456015,6.306215695000742
2014,1.8387833366323647,2.468592495558232,6.342175929790253
2015,1.8481715255393287,2.4479362623322714,6.377748684112982
2016,1.8574443563743095,2.426764204455785,6.412958797631251
2017,1.8665938598558265,2.40505919549961,6.447778196762924
2018,1.875636009026604,2.3828539056994305,6.482261497096715
2019,1.8845627377176777,2.3601435048037263,6.516380301815774
2020,1.8933812519052209,2.336949028369911,6.5501589911251035
2021,1.9020835400870748,2.313253262217865,6.583569322848318
2022,1.9106852285532872,2.2890871020838937,6.616664855248632
2023,1.9191782197281215,2.26444594093174,6.649417057713705
2024,1.927569572299638,2.23934992840751,6.681849880867944
2025,1.9358553905099973,2.213786563610624,6.713949331248546
2026,0.7657638075897962,0.8617708405914916,2.657165400274848
2027,0.5828540668280308,0.6453126359421808,2.0234957596376884
2028,0.3943561967949352,0.4294265242505287,1.3697772929238088
2029,0.1980981578921448,0.2120996375297443,0.6884313921596269
2030,0.0,0.0,0.0
2031,0.0,0.0,0.0
2032,0.0,0.0,0.0
2033,0.0,0.0,0.0
2034,0.0,0.0,0.0
2035,0.0,0.0,0.0
2036,0.0,0.0,0.0
2037,0.0,0.0,0.0
2038,0.0,0.0,0.0
2039,0.0,0.0,0.0
2040,0.0,0.0,0.0
2041,0.0,0.0,0.0
2042,0.0,0.0,0.0
2043,0.0,0.0,0.0
2044,0.0,0.0,0.0
2045,0.0,0.0,0.0
2046,0.0,0.0,0.0
2047,0.0,0.0,0.0
2048,0.0,0.0,0.0
2049,0.0,0.0,0.0
2050,0.0,0.0,0.0
